,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
t,mercy,merciful,love/pity (R),Mercy is compassion shown to offenders or enemies. God shows mercy when he provides for his creatures. Jesus showed mercy when he healed the sick and raised the dead. ,"love, grace, kindness",Mercy is compassion shown to enemies or offenders. (I don't think it needs to meet material needs/HiA). (Hilkka),"GC: Do you want to contrast with grace?
RR: users can look up grace and get the contrast.",,,,,,,,,,,,,,,,,,,,,,,,
t,Messiah,Christ,"The King (whom) God promised to send;
Our Truly Important Chief (G); the appointed man (U); 
Al-Masih (W); Kaarisito (R); Mesaia (K)
","The Hebrew word Messiah, and the Greek word Christ, translate Anointed. In the OT part of the Bible, they called kings ‘anointed,’ after a prophet poured oil on their head. In the NT part of the Bible, Jesus is called the Christ, the Messiah, and God’s Anointed. ","King, Son of God",other language: the appointed man (urt).; These are not helful in PNG: Al-Masih (W); Kaarisito (R,,,,,,,,,,,,,,,,,,,,,,,,,
n,Michal,,,"Michal was King Saul's daughter. She loved David who married her while he was still serving King Saul. Years later, she rebuked David after he danced in the streets of Jerusalem. She bore no children.",,,GC 25-Apr-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Midian,Midianites,,"Midian was the fourth son of Abraham's second wife, Keturah. The Land of Midian was in northwest Arabia, to where Moses fled from Egypt.  People from the Land of Midian were called Midianites. They would raid and rob Israel during the time of the Judges. God strengthened Gideon to defeat the invading Midianites.",,,"GC 08-Feb-19

Gideon did not go conquer Midia.","


",,,,,,,,,,,,,,,,,,,,,,,
t,miracle,"miracles, wonders","something that caused people to be surprised (G); 
","A miracle is anything that only God can do. Jesus did miracles to show he was God, and his apostles could do miracles to show that they were messengers from God. Miracles are also called signs and wonders. Miracles are not magic or tricks or deception.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Miriam,,,Miriam was a sister of Moses and of Aaron. She was a prophetess who taught songs to the Israelites.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Moab,"Moabite, moabites",,"Moab was a son of Abraham's nephew Lot. Moab's desendents were the Moabites, who dwelt in Moab, to the southeast of Israel across the Jordan River. The Moabites worshipped the god Molech by sacrificing their children. Ruth was a Moabite who became an ancestor of King David and Jesus.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Molech,,,"Molech is an evil spirit and a god or idol worshiped by some pagans. In some countries, worshippers sacrificed their own children to idols of Molech. Some Israelites at Jerusalem made the Lord very angry when they sacrificed their children. (The name Molech means King of death.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Mordecai,,,Mordecai was a Jewish exile who worked in Persian King Xerxes' palace. He reared his orphan cousin Esther who became Xerxes' queen. Xerxes rewarded Mordecai for his faithful service.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Moses,,Musa (W from Ar),"Moses lived around 1450 years before Jesus. He was born to a Hebrew slave family in Egypt, but was adopted by an Egyptian princess. Moses left Egpyt at age 40, but God sent him back to Egypt at age 80, to lead the Hebrews to Canaan. God revealed his Law to Moses (who wrote the first books of the Old Testament).",,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,mustard,,mastad (K),"Mustard is a kind of spice plant that has tiny seeds that grow into a big plant. Jesus said, ""If you have faith as a mustard seed, you can move mountains.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,myrrh,,sticky substance of perfume called mira (R); good smelling sap of a tree called mira (K); sap that smells (W),"Myrrh is a costly, sweet-smelling sap or resin of a certain tree. The Jews used myrr for medicine, because it makes a person sleepy so that he does not feel much pain. They also applied myrrh to dead bodies for burial.",incense,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Naaman,,,"Naaman lived about 800 years before Jesus in the country of Syria where he was a commander of soldiers. He was a pagan (Gentile), not a Jew, and he suffered with a skin disease. The prophet Elisha told him to go bathe in the Jordan river. Naaman obeyed and was healed, becoming a believer in Israel's God. (Jesus told the Jews that God accepted Namaan who did not obey Moses' Law.) (The name Naaman means Pleasant.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Naomi,,,"Naomi was a woman of Israel who migrated with her husband to Moab, returning to Israel after the deaths of her husband and sons.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,nard,,perfume called naad (R); good smelling liquid called nad (K);,Nard is an oily perfum made from the sap of a plant called spikenard. A woman once bought some nard and anointed Jesus' feet with it. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
n ,Nathan,,,There were several men named Nathan. The Prophet Nathan often brought messages from from the LORD to King David. David named a son Nathan. (Than name Nathan means He Gives.),,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Nathanael,,,Several men were named Nathanael. A Nathanael was one of Jesus' first disciples. (The name Nathanael  means God gives.),,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,nation,nations,"people (G); kingdom (W);
",Nations are many people who agree to be governed together. Kingdoms are nations ruled by a king. Empires are several nations governed by one supreme ruler.,"country, empire, kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Nazareth,,,Nazareth was a village in the Provice of Galilee to the North of Judah. Joseph brought Mary and Jesus to dwell in Nazareth after they returned from Egypt.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Nebuchadnezzar,,,"Nebuchadnezzar was a pagan king of Babylon from 605 till 562 BC. He deported Israelites to exhile in Babylon, and later believed in Israel's God. (The name Nebuchadnezzar means May Nabu preserve my son.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Nehemiah,,,Nehemiah was a Jewish high official in the Persian Empire. King Artaxerxes sent Nehemiah to Judah about 445 BC to rebuild Jersalem. (The name Nehemiah means the Lord comforts.),,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Nile River,Nile,,"The Nile River flows northward through the entire county of Egypt, providing most of the county's water. Egyptians considered the Nile to be a sacrd source of life. God gave Moses the power to make the water in the Nile turn to blood.  (The source of the Nile River is located in Lake Victoria in Uganda.)",,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Nineveh,Nenevites,,"Nineveh was a great pagan city in the land of Assyria. (Assyrian soldiers used to torture their captives to death.) Around 800 years before Christ, God sent the prophet Jonah to warn the Ninevites that he was going to destroy them. When they heard Jonah's message, they wept and repented. Because of this, God forgave them and did not destroy them at that time. (When they repented, Jonah felt badly, because he had wanted the LORD to destroy Ninevah.)
The little book of Naham tells about when God later destroyed Nineveh.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Noah,,,"Noah lived around 2000 years before Jesus. His name means rest or comfort. In those days, humans were doing so much evil, that God ordered Noah to build a very big boat. 120 years later, God led pairs of animals and Noah's family into that boat. God then caused floods of water to cover the land, killing all humans and animals, except for those who were saved through the flood waters in the boat. (Thus, everyone alive today is a descendent of Noah and of his sons.) ",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,oath,"oaths, vow, vows","promise (R); 
to truly declare what one is going to do (G);
bind talk (U);",An oath or vow is a solumn promise made before God and witnesses.,"covenant, promise, curse",other lg: bind talk (urt),,,,,,,,,,,,,,,,,,,,,,,,,
n,Obed-Edom,,,"King David once stored the Covenant Box in Obed-Edom's house, and the Lord prospered Obed-Edom. After David brought the Covenant Box to Jerusalem, he made Obed-Edom a gate keeper there. (The name Obed-Edom means Servant of Edom.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,olive,"olives, olive oil",tree of oliwa (R),"Olive is a kind of fruit-bearing tree. Humans eat olive fruit. They also press it to make cooking oil and medicine.Olive oil comes from crushing fruit from an olive tree. Olive oil was used to make food, and was applied to wounds as medicine. Prophets anointed priests and new kings by pouring oive oil on their head. Mount of Olives is also the name of a hill near Jerusalem where Jesus often stayed.  It had a garden/orchard of olive trees on it.",,,"The Mt of Olives is also called Har-Mokhed, which transliterates into Greek as Armageddon, and has nothing to do with the Mageddo Plains.",,,,,,,,,,,,,,,,,,,,,,,,
t,Omega,"zed, zee",Omegaa (R); finisher; ,"Omega is the name of the last letter of the Greek alphabet. Omega means Big O. The Book of Revelation calls Jesus the Alpha and the Omega, the Beginning and the End, (that is, the Creator and the Redeemer).",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Orpha,,,Orpha was a woman of Moab. She was a widow who had been married to one of Naomi's two sons.,Ruth,,,,,,,,,,,,,,,,,,,,,,,,,,
t,palace,palaces,"the big house of the real cheif (G); 
",A king's very large house.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Paradise,,God's gathering place (W); Paradais (k); God's living place (G); ),"Paradise is a Greek word meaning ""beautiful garden."" (Pagans used this name for the dwelling place of their gods.) In the New Testament, Paradise refers to (1) the place in heaven where departed (dead) believers go, and (2) the future new earth-heaven where believers will dwell forever.",Eden,"refers to Allah/islam, Aajana not helpful in PNG (Hilkka)","Paradise is not used in the Bible to refer to Eden, does it?",,,,,,,,,,,,,,,,,,,,,,,,
n,Paul,,,"Saul was a Jew who violently harmed Christians. After Jesus appeared to Saul, he became an apostle calling himself Paul. Paul suffered a lot while serving Jesus by telling the Good News and starting many new churches. Paul wrote ten letters that are now part of the New Testament of the Holy Bible.  (The name Paul means Little.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,pearl,,"valuable stone inside a clamshell (R), egg of kina shell (R); (valuable) stone inside a clamshell (K); a very good stone called per (G); ","Pearl is an expensive kind of jewel that comes from the sea. (They are made by clams who, when an irritating piece of sand gets inside their shell, they secrete a milky white substance to cover the sand many times so it won't be irritating.  Pearls, being round and shiny, are used to make necklaces and jewelry.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Persia,Persians,,"The Persians are an Iranian tribe. In the 7th century BC, they allied with the Medes and conquered Babylonia. The Persian Empire ruled over much of the world for 100s of years.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Peter,Cephas,,"Simon was a fisherman who was also called Cephas. When Jesus called Simon to become a disciple, Jesus changed Simon's name to Peter. Peter was one of Jesus' twelve apostles. Jesus chose Peter be the first one to tell the Good News to Jews after Jesus died and rose, and to be the first one to tell the Good News to non-Jew or Gentiles. Peter wrote two letters of the New Testament of the Bible. (The name Peter means Rock.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Pharaoh,pharaohs,Pero (in Egypt) (K); king over Egypt; head man of Egypt (U),Pharaoh is the name that ancient Egyptians gave to their kings. Each Pharaoh also had a personal name. Rich Pharaohs built huge burial tombs for themselves.,king,head man of Egypt (urt),,,,,,,,,,,,,,,,,,,,,,,,,
n,Pharisees,Pharisee,"Jewish religious leader;
Farasi;
","Pharisees were Jewish religious leaders and teachers who sought to obey the Law of Moses by keeping many rules. They would scorn other Jews who were not so strict about keeping those rules. Jesus called them hypocrites, because they often sinned but would not admit it. (Many Pharisees opposed Jesus and his apostles, sometimes arresting or killing Christians.)","Sadducee, Jewish religious leader",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Philip,,,"There were several men named Philip. One was a political leader. Another was one of Jesus' first disciples, who also became one of Jesus'twelve apostles. Philip led many Samaritans to Jesus, as well as an Ethiopian official.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Philistine,"Philistines, Philistia",,The Philistines were pagan tribes that dwelt in southern Israel. They sometimes fought against the Israelites. Samson loved a Philistine woman called Delilah.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,pig,"pigs, swine",,"Pigs, also called swine, are a short, sturdy animal that eat almost anything and who like to roll in mud to keep their skin moist. God's law forbade Israel to eat pig meat (pork).",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Pilate,,,"Pilate was the Roman governor in charge of Judea in the days when Jesus was teaching. When Jewish leaders arrested Jesus, Pilate agreed to crucify Jesus, even though he knew Jesus was innocent and it was wrong.",,,At least two inscriptions have been uncovered that contain Pilat's name.,,,,,,,,,,,,,,,,,,,,,,,,
t,plague,plagues,,Plagues are any disease or infestation that has a destructive affect on many folk at the same time.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,pool,,water (G); ,usually a man-made hole filled with water for bathing in.,,not helpful in PNG: ; pisin (W from Fr),,,,,,,,,,,,,,,,,,,,,,,,,
t,porch,,place near the door (G); ,a platform outside a house but near the door.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Potipher,,,Potiphar was the name of an official in Egypt. He bought Joseph as a slave and later put him into prison. (The name Potiphar may mean African Bull.),,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,praise,"praises, praising, praised","to speak well of (G); 
magnify (W);","Praise is when we tell others how someone else has done good actions. We praise God by telling how he has answered our prayers. Christians often praise God with songs and music, telling about how great he is.","thank, honor",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,pray,"prayer, prays, praying, prayed","to speak to God (G); 
plead (W);","To pray means to speak or make requests to a powerful human or to a god. Jesus commanded Christians to pray often to God, using Jesus' Name. ","praise, worship",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,preach,"preacher, preaching, preached","tell God's beautiful word (G); 
",To preach is to speak a message or to tell story to others that they have not heard before. ,"teach, prophet",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,priest,priests,"giving to God one (R); priest (transliterated) (G); 
sacrificer (W);","Priests are religious leaders who (1) offer up sacrifices, (2) teach the Law, (3) mediate disputes, (4) verify healing and (5) mangage the temple and its wealth.",Levite,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Priscilla,Prisca,,"Priscilla, also called Prisca, was wife of Aquila. They were Jews from Rome who helped Paul to plant churches in Greece and in Syria. (The name Prisca means ""venerable"" in Latin.)",Aquila,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,promise,"promises, promised","placing a thing by words / mouth;
tell what one is going to do in the future (G); promise (R);","A promise is a good action that someone says he will do later. God will always do what he has promised to do. Some of God's promises are conditional, that is, they require humans to do something first. ""If (condition) you confess that Jesus is Lord, then (promise) you will be saved.""","covenant, oath",,,,,,,,,,,,,,,,,,,,,,,,,,
t,prophecy,prophecies,talk of prophet (R); spoken by God's word (W);,"Prophecies are messages that God has revealed to someone to tell to others. Some prophecies warn sinners to repent, some prophecies provide guidance or teaching, and other prophecies foretell future events. (The Bible contains hundreds of prophecies.)","angel, preacher, teacher, apostle, prophesy",Allah (not good in PNG),,,,,,,,,,,,,,,,,,,,,,,,,
t,prophesy,"prophesying, prophesied, prophesies",talk of prophet (R); touch God's words (W),"To prophesy is to speak with help from God, to strengthen others, to confort them, to help them grow. (Since those who prophesy can make mistakes, others must discern truth from error.)","prophet, prophecy","I would remove this: All believers can prophesy (through songs, citing Scripture, teaching, testimonies, teaching and drama.) Allah not  good in PNG. (Hilkka)","1 Corinthians 14:3, 24-26",,,,,,,,,,,,,,,,,,,,,,,,
t,prophet,"prophets, prophetess","teller of God's word (G); 
person to whom God gives words (D); 
God's mouth (spokesperson);
a human messenger for God or gods/idols;
way-goer (W); poropet (K)","Prophets are men or women whom God has so gifted that they speak messages from God. Some Hebrew prophets wrote the Old Testament books. Christian prophets speak messages that bring help to others when they need it. (Christian prophets can make mistakes, so they must remain willing to learn.)","angel, preacher, teacher, apostle, prophecy, prophesy",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Psalms,"psalm, song, poem",Songs of Dewid (R); song (G); ,"Psalms are poems or songs written in Hebrew. Often, one line of a psalm is repeated in another line using different words. Psalms can express praise, prayer, lament, curses, teaching and predictions. (Jews and Christians often sing psalms in their worship.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,pure,purity,"clean (R); not any dirty behaviour (R); 
behaviour straight in God’s eyes (K), no dirtiness in it (K);",,clean,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Rabbi,Rabboni,"my Teacher; Teacher (R, W);",Rabbi means My Teacher. Official Jewish teachers are called Rabbi or Rebbi. A more respectful way to say My Teacher used to be Rabboni. Christian techers are usually called Pastor.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Rachel,,,"Rachel means ewe or girl sheep. One of Jacob's two wives was named Rachel. She was the mother of Joseph and Benjamin. In Jeremiah In Matthew 2:18 her name is used to represent all the mothers of the Jewish people. In Jeremiah 31:15, mothers in Israel are called Rachel, and in Matthew 2:18, mothers in Bethlehem are called Rachel, when they weep for their captive or dead children.",,,GC: Does this capture the point? RRyes,,,,,,,,,,,,,,,,,,,,,,,,
n,Rahab,,,"Rahab was a Canaanite woman, an inn keeper and a harlot (perhaps a pagan temple prostitute) who lived in the city of Jericho around 1400 years before Jesus. She believed in Israel's God when she heard how he saved the Israellites from Egypt, so she helped Israelite spies escape from Jericho. Rahab became an ancestor of Jesus. (Rahab was also the name of an ancient Canaanite goddess.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Rebecca,,,Rebecca lived around 1800 years before Jesus. She was the wife of Abraham's son Isaac and the mother of twin sons named Esau and Jacob. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Red Sea,Reed Sea,Red Sea (R);,"The Red /Reed Sea lies between Egypt and the road leading to Canaan. God opened a way through this sea for the Israelites as they fled from Pharaoh's army.
Red may be a misspelling of the word Reed, since in Hebrew it is called the Sea of Reeds.",,,"Red may be a misspelling of the word Reed, since in Hebrew it is called the Sea of Reeds.",,,,,,,,,,,,,,,,,,,,,,,,
t,region,"area, province","land (G);
","A region or area is any wide space of land inside a country. A province in an area that has defined boundaries, a name and a government.","country, nation, empire, kingdom",,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Rehoboam,,,"Rehoboam was a foolish son of King Soloman. After Soloman died, Rehoboam became king. But when he increased taxes and treated people harshly, they rebelled, dividing the kingom in two. Rehoboam ruled over Judah at Jerusalem, whilst Jeroboam became king over the rest of Israel. (The name Rehoboam means Widen the People.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,repent,"repented, repenting, repents","turning away from wrong things/action and turning to God;
be sad about the bad things you have done. Stop doing them. (G);
think-turn (R); ","To repent means to turn around and move in the opposite direction; to change the way you act.  When humans repent, they choose to change their beliefs and actions, in order to obey God. When God repents, he chooses not to punish the wicked who have repented, or he chooses not to help believers who disobey him.","forgive, confess ",,"Not a difficult concept. In the NT, choosing to be baptized was an act of repentance. ",,,,,,,,,,,,,,,,,,,,,,,,
t,rest,"rested, rests, resting",,"Rest means to cease from hard work. God's Law required everyone to rest on the Sabbath or Seventh day of every week. Rest is also (1) a symbol of Israel's arrival in Canaan, and (2) a symbol of the future life of believers when God will reward their faith and obedience.","sabbath, wait",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Reuben,Ruben,,"Ruben was the first / oldest son of Jacob and Leah. Ruben became an ancestor of one of the twelve tribes of Israel. (The name Ruben means Behold, a Son.)",,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,righteous,"righteousness, right","being true/right/worthy in God's eyes;
very good (G);straight (R, W);
good ones (G);
","God is righteous, because he always does that which is right, good and just. Jesus was righteous, because he obeyed God completely and never sinned. God counts us believers as righteous, because he forgives us all of our sins and accepts us belonging to righteous Jesus. (God has absolute righteousness, where as we receive imputed/substitute righteousness.)","just, holy, good",,,,,,,,,,,,,,,,,,,,,,,,,,
t,riot,"riots, rioting",,"A riot happens when a crowd or a mob becomes violent, trying to harm others or their property.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Rome,"Romans, Roman",,"Rome was and is the capital city of a country called Italy. At the time of Jesus, Rome had conquered much of the world. The empire of Rome ruled over many countries from about 100 years before Jesus till 700 years after Jesus.  Although the Romans brought good laws to every place, they levied heavy taxes and required everyone to honour their gods. The Romans believed that their kings / ceasars were divine gods.  The Jews especially hated the Romans, and the Romans eventually destroyed Israel. Rome built many roads and kept countries from warring against each other.  This allowed the Good News about Jesus to spread very rapidly for 300 years. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Ruth,,,Ruth was a (gentile) woman from Moab. She was a widow who had been married to one of Naomi's two sons. Ruth came with Naomi to Israel where a good man named Boaz married her. Their son became an ancestor of King David and of Jesus.,,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Sabbath,,rest; cease work; Day of Sabat (K);,"Sabbath is an Hebrew word meaning Rest or Cease Work. After creating the world, God (and later the Law of Moses) decreed the seventh day of each week to be a Sabbath day uniquely for rest, not doing normal hard work. Feast and festivals were also Sabbath days. (In Jesus time, the Jews had added many more rules against activity on Sabbath days. Jesus often broke those rules.)",rest,,,,,,,,,,,,,,,,,,,,,,,,,,
t,sacrifice,"sacrifices, sacrificed","offer of a slaughtered animal;
giving your life or goods to another (G);gift that is habitually cooked (R); ","A sacrifice is any costly thing that someone would kill or burn or offer (put / give), to honour God. Although Moses' Law required Israelites to offer sacrifices to pay for sins, anyone could offer a sacrifice to thank God. (Since Jesus has died as the final sacrifice for sin, Christians offer to God worship, praise, thanks and their own bodies as a living sacriice.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Sadducees,Sadducee,,"Sadducees were wealthy, high-class Jews who were in charge of the Jerusalem temple. They were part of the Jewish religious leaders.  They disagreed with the Pharisees about keeping rules that were not found in Moses' Law. (Sadducees believed that the dead would rise at the end of time, but denied that anyone could rise frome death before then.) ","Pharisee, Scribes",This could be removed:  (They also believed that angels exist but denied that angels appeared to humans.) (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,saint,saints,"one whom God rules, one whom Jesus rules (G); ",Saint means holy person who belongs to God through faith in Jesus. The apostles often addressed the Christians they wrote letters to as saints. ,"Christian, believer, disciple",,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Samaria,"Samaritans, Samaritan",,"Samaria had been a northern region of ancient Israel, and later became a province of Rome. After Assyria deported Jews from Samaria around 600 years before Jesus, they brought pagans to live in Samaria. These Samaritans converted to Jewish religion, but the Jews never accepted the Samaritans as real Jews because they had intermarried with gentiles and some worshipped their gods while some worshipped the God of Israel. The Jews of Judea despised the Samaritans. ",,"Samaritan, member of a community of Jews, now nearly extinct, that claims to be related by blood to those Jews of ancient Samaria who were not deported by the Assyrian conquerors of the kingdom of Israel in 722 bce. (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
n,Samson,,,"Samson lived about 1100 years before Jesus. His name means Sun. He was supposed to be dedicated to God, but he was a disobedient leader during the time of the judges.  God gave great physical strength to Samson who slew many of the Israelites' enemies. However, he married a pagan woman who tricked him, causing him to further disobey God and to lose the gift of his strength.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Samuel,,,"Samuel lived around 1150 years before Jesus. His name means God's Name. Samuel became a great prophet in Israel, and it was he who anointed Saul and David as kings of Israel. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,sanctify,"sancified, sanctifies","make one a person who really obeys God (G); 
cleans (W);","To sanctify means to make something or someone more holy, or to dedicate ourselves, something or someone to God. God's Holy Spirit sanctifies Christians by dwelling in them. ","justify, clean, holy",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Sanhedrin,,meeting (R); people of meeting (R); gathering of leaders (W);,"In Jesus' Time, the Sanhedrin was a ruling council of 71 men over Jewish religion and affairs. They were led by the Jewish high priest. (The Sanhedrin ruled that Jesus must die, and later that Paul must die.) (The Sanhedrin sent Jesus to the Romans for them to crucify him.)",,,"In 2018, the Sanhedrin in again active in Israel. ",,,,,,,,,,,,,,,,,,,,,,,,
n,Sapphira,,,"Sapphira and her husband Ananias were amongst the first Christians. They sold some land and brought part of the money to help poor Christians. But when they lied about how much money they had sold the land for, they fell dead.(The name Sapphira means Saphire, a precious stone.)",,,GC 19-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Sarah,,,"Sarah was Abraham's first wife. Even though she was barren for many years, God promised that she would bear a son in her old age. God changed her name from Sarai, which means quarelsome, to Sarah, which means Princess, before the prominsed son, Isaac, was born.",Sarai,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Sarai,,,"Sarai was Abraham's first wife who became the mother of Isaac. God changed Sarai's name to Sarah. (Sarai means quarrelsome, whilst Sarah means princess.)",Sarah,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Satan,devil,"crooked mouth (G);
enemy of God;
chief leader of the evil spirits (G);
spirit who accuses others;
Seytaane (W)","Satan means Accuser or Adversary. Satan is a powerful, evil spirit or devil who tempts humans to do wrong, then accuses them before God. However, Jesus defends believers before God. (Eventually, Jesus will cast Satan into a Lake of Fire forever.)","demon, Beelzebul",Seytaane not helpful in PNG.,"In Hebrew, he is ha-satan = the accuser. The Book of Revelation alone makes Satan = Serpent = Dragon = Devil.",,,,,,,,,,,,,,,,,,,,,,,,
n,Saul,,,"There were two men named Saul: (1) A tall, handsome-looking man whom Israel chose to be its first king 1100 years before Jesus. (2) A Jewish Pharisee who sought to kill Christians. He later became a Christian and an Apostle, taking the Good News to Gentiles using the name Paul. (The Hebrew name Saul means Asked for.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Savior,,"Cause-live One (R); the who saves/delivers (us) (G); 
","God was Israel's Saviour, who often rescued them from their enemies. Jesus is the Saviour for all humans, who rescues from Satan's power, from God's wrath and judgement, from eternal death, and from hell, all who call upon him with faith. (This is way the New Testament says that Christians are saved.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,scepter,,"ruling stick (G);
",Septers are a stick or ball [on a stick] that kings hold in their hand while making laws or decisions. A septer is a symbol for royal authority.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,scribe,scribes,"teacher of people (G);
cultural law expert;
person who teaches people cultural law; teacher of the laws (R);
an educated person who can write documents/books {for others);
repeater (W)","Scribes were those who made copies of the the Bible, who studied the Bible, and who taught the Bible to others. During the time of Jesus and the earth church, many Jewish scribes joined with the Pharisees to oppose Jesus and his apostles.","Jewish religious leader, Pharisee, 
Sadducee",,,,,,,,,,,,,,,,,,,,,,,,,,
t,scroll,scrolls,"a rolled up book; 
paper rolled up (G);
","A scroll is a long piece of leather (or papyrus) upon which men wrote words. They rolled up the scroll to store it away, and unrolled it to read from it. Books are many small pieces of paper bound together on one edge.  A scroll is an old form or way of making a book.  A scroll is a rolled up book.  A book is a flat scroll of stacked pages.","Bible, book",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,sea,ocean,big water/river (G); ,More than half of the earth is covered with deep salty water. Wide parts of deep water are called seas or oceans. Men can travel across seas in big boats called ships that float on water.,"river, water",,GC 19-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Septuagint,,,"Septuagint, which means 70, is the Old Testament translated into Greek. Around 330 years before Jesus, the Greeks conquered Israel and Egypt where many Jews dwelt. When Jews began speaking Greek, 70 of them translated the Old Testament from Hebew into Greek. (The New Testament often cites verses from the Septuagint rather than from Hebrew.)",,,"That is more or less the tradition. Reality may be a little different, for there were also other Greek translations of the Tanakh.",,,,,,,,,,,,,,,,,,,,,,,,
t,servant,servants,one who works for someone (G); ,"A servant helps or works for someone else. Servants can (1) be people who work for pay, (2) be a captured slave or debtor who is forced to work for no pay, (3) be people who work freely for their master because they love them. Servants working for a powerful man were more important than poor men who were not servants. Prophets and Christians are called the Lord's servants because they serve the Lord freely who is their Master.",slave,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
